Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2,Chrome 123.0.0.0,,,02-04-2024 13:06:54,02-04-2024 13:07:14,20.290s,PASSED
,,,,,,,
Test Cases/dummy/2,Chrome 123.0.0.0,,,02-04-2024 13:06:54,02-04-2024 13:07:01,6.709s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 13:06:54,02-04-2024 13:06:57,3.060s,PASSED
"navigateToUrl(""https://www.google.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 13:06:57,02-04-2024 13:06:59,1.668s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Google/textarea_Login_q""), ""instagram"")",Chrome 123.0.0.0,,,02-04-2024 13:06:59,02-04-2024 13:07:00,0.881s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Google/span_Facebook""))",Chrome 123.0.0.0,,,02-04-2024 13:07:00,02-04-2024 13:07:01,0.762s,PASSED
,,,,,,,
Test Cases/dummy/3,Chrome 123.0.0.0,,,02-04-2024 13:07:01,02-04-2024 13:07:06,5.054s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 13:07:01,02-04-2024 13:07:02,1.645s,PASSED
"navigateToUrl(""https://www.google.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 13:07:02,02-04-2024 13:07:04,1.669s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Google/textarea_Login_q""), ""manga"")",Chrome 123.0.0.0,,,02-04-2024 13:07:04,02-04-2024 13:07:05,0.750s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Google/span_Facebook""))",Chrome 123.0.0.0,,,02-04-2024 13:07:05,02-04-2024 13:07:06,0.760s,PASSED
,,,,,,,
Test Cases/dummy/4,Chrome 123.0.0.0,,,02-04-2024 13:07:06,02-04-2024 13:07:10,4.301s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 13:07:06,02-04-2024 13:07:07,1.356s,PASSED
"navigateToUrl(""https://www.google.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 13:07:07,02-04-2024 13:07:08,1.325s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Google/textarea_Login_q""), ""igloo"")",Chrome 123.0.0.0,,,02-04-2024 13:07:08,02-04-2024 13:07:09,0.710s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Google/span_Facebook""))",Chrome 123.0.0.0,,,02-04-2024 13:07:09,02-04-2024 13:07:10,0.726s,PASSED
,,,,,,,
Test Cases/dummy/5,Chrome 123.0.0.0,,,02-04-2024 13:07:10,02-04-2024 13:07:14,3.937s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 13:07:10,02-04-2024 13:07:11,1.220s,PASSED
"navigateToUrl(""https://www.google.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 13:07:11,02-04-2024 13:07:12,1.150s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Google/textarea_Login_q""), ""indocyber"")",Chrome 123.0.0.0,,,02-04-2024 13:07:12,02-04-2024 13:07:13,0.723s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Google/span_Facebook""))",Chrome 123.0.0.0,,,02-04-2024 13:07:13,02-04-2024 13:07:14,0.705s,PASSED
